id;name
1;Agricultura si alimente
2;Alpinism utilitar
3;Asigurari
4;Asistenta juridica
5;Auto si alte vehicule
6;Constructii
7;Contabilitate si audit
8;Consultanta si finantari
9;Curatenie si menaj
10;Cursuri si meditatii
11;Deratizare si dezinfectie
12;Funerare
13;IT si web
14;Imobiliare
15;Infrumusetare
16;Masaj si relaxare
17;Organizari evenimente
18;Pentru copii si bebelusi
19;Pentru varstnici
20;Pet & vet
21;Productie si industrie
22;Publicitate si promovare
23;Reparatii diverse
24;Resurse umane
25;Securitate si paza
26;Servicii medicale
27;Sport si agrement
28;Transport
29;Turism si Gastronomie
30;Servicii diverse